Nome,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
AGATHA,36,0,0,119,0,0,0,220,0,0,0,0,0,0,0,0,0,0,655,0,392,0,0,321,0,0,0
ALICE,50,105,61,184,1420,308,467,593,961,347,419,415,2529,445,206,1630,354,138,1939,110,1188,179,36,922,6759,131,188
ANA BEATRIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,244,130,0,292,0,0,0,0,0,0,0,0,0,0
ANA CECILIA,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0
ANA CLARA,37,0,49,214,0,0,149,0,0,0,165,0,0,359,0,0,0,0,0,0,436,75,22,0,0,0,0
ANA JULIA,51,127,64,174,591,401,0,0,0,350,163,145,772,0,210,0,363,149,0,135,0,90,23,0,0,95,101
ANA LAURA,0,0,0,0,0,416,0,0,245,0,0,0,0,341,157,0,0,0,0,112,0,0,0,0,0,0,90
ANA LIZ,38,0,0,0,0,458,0,0,0,0,0,0,0,0,136,0,0,95,0,82,0,0,0,0,0,0,0
ANA VITORIA,62,0,40,183,0,314,0,0,0,281,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,78
ANTHONY,0,0,33,135,809,0,0,300,0,0,0,146,695,0,0,492,0,0,811,0,472,0,0,405,2233,0,92
ANTHONY GABRIEL,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,89,0,0,0,0,0,90,0
ANTONELLA,0,0,0,0,0,0,0,268,273,0,0,151,890,0,0,699,0,0,1216,0,725,0,0,427,2287,0,0
ARTHUR,123,257,127,476,2244,819,496,722,987,735,546,486,2704,962,337,1824,746,314,2970,202,1632,286,60,1083,7282,230,282
ARTHUR GABRIEL,0,134,31,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,18,0,0,72,0
ARTHUR MIGUEL,44,132,0,175,0,0,0,0,0,0,156,0,0,0,129,0,363,0,0,0,0,71,27,0,0,102,0
AURORA,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,673,0,0,0,0,0,0
AYLA,35,0,0,121,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYLLA,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEATRIZ,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,512,0,0,0,0,0,0,0,285,0,0,0
BENICIO,0,0,0,152,0,349,156,365,392,286,220,178,1336,0,133,643,254,125,966,110,499,98,22,371,2730,0,87
