Nome,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
AGATHA,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALICE,42,0,49,139,795,0,275,461,711,200,341,269,1766,350,152,1297,265,105,1251,0,906,135,22,783,5108,85,130
ANA CECILIA,0,0,0,0,0,287,0,0,0,202,0,0,0,0,0,0,237,0,0,93,0,0,0,0,0,0,0
ANA CLARA,32,0,30,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA JULIA,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
ANA LAURA,0,97,0,0,0,342,0,0,0,0,0,0,0,330,158,0,0,94,0,118,0,0,0,0,0,0,0
ANA LIZ,59,142,0,0,555,629,139,194,268,359,141,0,0,306,246,0,356,147,0,162,0,0,0,0,0,78,97
ANNA LIZ,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0
ANTHONY,66,116,55,189,1355,322,176,450,558,364,246,216,1280,594,180,660,350,130,1422,99,637,143,29,549,3151,80,163
ANTHONY GABRIEL,43,132,26,111,0,231,0,0,266,278,152,113,825,322,161,0,373,98,0,90,0,60,0,0,0,73,77
ANTHONY GAEL,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
ANTHONY RAVI,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONELLA,32,0,39,125,0,0,0,365,418,0,243,213,1118,267,0,813,0,0,1342,0,834,89,0,536,2989,0,97
ARTHUR,74,157,43,333,1298,550,328,487,661,446,355,299,1770,656,260,1218,491,175,1781,115,1044,179,40,776,4651,155,154
ASAFE,45,0,31,135,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
AURORA,65,119,0,230,858,448,295,382,722,456,359,244,1325,575,160,822,341,182,1052,119,992,132,39,483,1663,107,159
AYLA,47,0,0,120,502,0,128,278,294,0,0,0,721,263,0,0,0,0,686,0,0,0,20,272,1679,0,66
AYLLA,33,0,0,0,562,0,0,192,0,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,0,78
AYLLA SOPHIA,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,73,0
BENICIO,48,0,32,156,724,394,229,457,546,338,302,202,1558,309,181,823,306,137,1132,116,651,124,18,478,3370,104,117
BENJAMIM,31,0,29,0,0,250,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENJAMIN,0,0,25,0,515,0,130,178,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0
BENTO,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,637,0,409,0,0,0,0,0,0
BERNARDO,47,177,42,176,1152,471,357,464,505,323,276,238,1599,403,209,983,464,142,1600,134,855,92,30,630,4271,177,156
CATARINA,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0
CECILIA,64,126,40,204,1061,290,384,621,938,327,533,418,2237,493,164,1619,313,97,1410,84,1269,239,43,1020,5076,112,207
DANIEL,0,0,0,151,0,0,0,0,0,0,0,131,0,274,0,0,0,0,0,0,0,59,19,0,0,0,68
DAVI,65,201,53,195,992,505,336,491,707,339,379,265,1778,554,311,1202,533,156,1400,152,814,190,50,775,4350,133,148
DAVI LUCAS,0,0,0,0,0,0,0,0,0,223,0,0,0,0,127,0,249,91,0,77,0,0,0,0,0,0,0
DAVI LUCCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,67,0
ELISA,34,0,0,0,703,0,166,293,455,229,0,0,771,0,0,0,0,0,0,0,0,80,0,0,0,67,130
ELOA,34,0,50,146,715,0,172,202,306,243,176,131,0,367,0,446,0,109,594,0,0,82,0,329,0,86,116
ELOAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,0,0,0,0,0,0
EMANUEL,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,479,0,0,0,0,0,77,16,268,0,0,0
EMANUELLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
ENDRICK,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENZO GABRIEL,48,166,28,129,0,288,0,0,0,299,0,0,0,380,200,0,377,118,0,87,0,0,0,0,0,81,0
ESTHER,42,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRANCISCO,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRIEL,39,136,34,188,732,308,203,362,545,230,227,209,1525,359,229,877,330,101,977,108,614,100,35,565,3112,85,129
GAEL,89,204,96,273,2034,557,332,747,777,647,407,414,2105,810,278,1155,519,226,2201,137,954,203,26,745,5287,204,223
GUILHERME,48,0,0,0,0,0,0,0,0,0,0,120,0,259,0,0,0,0,0,0,0,0,15,0,0,62,0
HADASSA,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEITOR,94,237,72,298,1752,639,392,505,773,581,414,332,1921,693,313,1102,547,236,1832,144,924,214,46,715,4376,205,223
HELENA,74,168,60,266,1425,366,470,783,1189,449,623,468,2825,548,240,1960,460,172,2202,152,1466,268,33,1160,6858,133,253
HELOISA,34,0,0,115,643,0,223,261,484,261,232,233,893,265,0,692,0,114,647,0,666,111,22,438,3007,61,121
HENRIQUE,0,0,0,0,0,0,141,215,400,0,0,130,1077,0,0,583,0,0,0,0,413,0,0,458,0,0,75
HENRY,0,0,0,0,599,0,0,222,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,1926,0,0
ISAAC,0,90,30,0,656,343,202,215,446,307,218,175,939,303,159,665,275,108,897,0,441,72,17,392,2350,72,111
ISABELA,0,0,0,0,0,0,129,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISABELLA,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,443,0,0,578,0,497,0,16,335,0,0,0
ISADORA,52,0,39,162,493,0,134,189,0,245,171,123,0,397,0,0,0,96,0,0,0,79,21,0,0,0,69
ISIS,34,0,36,0,704,0,202,375,496,0,216,195,1211,266,0,764,0,0,909,0,637,67,18,508,3030,0,110
JADE,0,0,0,0,732,0,0,216,0,0,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0
JOAO GABRIEL,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0
JOAO GUILHERME,0,156,0,0,0,0,0,0,0,221,0,0,0,0,123,0,304,86,0,83,0,0,0,0,0,62,0
JOAO LUCAS,0,104,0,0,0,231,0,0,0,230,0,0,719,0,135,0,279,106,0,91,0,0,0,0,0,80,67
JOAO MIGUEL,77,310,39,186,682,685,162,196,480,531,286,163,1159,558,317,496,676,221,0,252,0,90,32,0,0,187,149
JOAO PEDRO,0,115,0,111,0,250,124,0,0,0,153,0,798,247,140,0,310,0,0,75,351,54,16,0,0,103,0
JOAQUIM,0,115,29,0,457,0,0,192,249,0,188,176,0,0,0,826,253,0,612,0,749,0,0,551,2104,106,66
JOSE,0,102,0,145,0,242,0,0,0,254,0,0,0,242,162,0,272,0,0,100,0,0,19,0,0,0,0
JOSE MIGUEL,0,146,0,0,0,294,0,0,0,0,0,0,0,0,145,0,245,0,0,114,0,0,0,0,0,75,0
JOSUE,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JULIA,0,0,0,0,0,0,0,0,289,0,152,0,865,0,0,615,0,0,0,0,395,63,0,296,1820,0,65
LARA,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,285,1699,0,0
LAURA,36,0,41,157,1074,323,335,611,610,279,239,170,1666,454,192,1191,296,95,1782,115,711,142,32,696,4138,102,151
LAVINIA,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0
LEONARDO,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,566,0,0,0,0,0,0,0,0,2013,0,0
LEVI,45,112,36,137,787,264,279,235,381,284,173,0,778,322,164,0,283,137,793,87,0,69,17,0,2573,0,110
LIVIA,0,0,0,0,0,0,0,0,0,0,170,147,0,0,0,785,0,0,0,0,749,105,28,456,2325,0,0
LIZ,0,0,0,0,1033,0,249,420,406,202,166,163,1137,0,125,454,0,92,1078,82,0,68,15,331,2876,78,101
LORENA,38,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,55,0,263,1961,0,0
LORENZO,53,0,34,129,789,247,0,268,0,242,0,0,0,335,0,0,0,88,812,0,375,0,0,0,1712,83,64
LUCAS,0,0,0,129,0,0,133,218,263,0,0,0,913,0,122,474,251,0,697,0,360,60,21,301,1998,0,0
LUCCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,449,0,0,286,2262,0,0
LUISA,0,0,0,0,0,0,0,0,306,0,131,0,804,0,0,478,0,0,0,0,0,0,0,0,0,0,0
LUIZ MIGUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0
LUNA,35,88,49,110,884,261,122,196,0,237,0,0,0,303,136,0,0,100,670,0,0,0,0,0,0,0,0
LUNNA,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAITE,79,145,72,208,1306,583,416,537,613,449,307,339,1467,531,209,937,243,165,1925,124,1058,126,22,671,5153,159,196
MANUELA,0,0,0,0,0,0,123,0,286,0,0,132,663,0,0,461,0,0,666,0,433,0,0,0,2161,0,0
MARIA,0,0,27,299,0,0,0,0,0,355,0,0,0,370,147,0,262,123,0,88,0,0,0,0,0,0,0
MARIA ALICE,62,285,58,170,867,726,251,271,485,442,256,197,1670,452,454,757,861,233,1026,227,531,104,20,389,2759,237,128
MARIA CECILIA,88,481,71,247,1051,950,311,268,655,742,375,202,1823,825,513,668,1040,293,895,244,469,131,29,363,2365,292,187
MARIA CLARA,34,203,32,156,0,372,148,0,258,213,175,136,880,310,200,519,495,0,0,115,480,0,21,293,1859,106,63
MARIA EDUARDA,0,100,29,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,18,0,0,81,0
MARIA ELISA,0,102,0,0,0,262,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0
MARIA ELOA,0,158,0,0,0,399,0,0,0,0,0,0,0,0,160,0,295,92,0,97,0,0,0,0,0,68,0
MARIA FLOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0
MARIA HELENA,63,329,49,190,731,564,182,0,285,427,211,135,0,412,468,523,801,162,0,335,0,75,18,284,0,207,85
MARIA HELOISA,0,132,0,0,0,337,0,0,0,0,0,0,0,0,129,0,308,89,0,0,0,0,0,0,0,62,0
MARIA ISIS,31,208,26,0,0,687,0,0,0,396,0,0,0,322,172,0,451,226,0,172,0,0,0,0,0,106,69
MARIA JULIA,0,183,31,0,462,436,159,0,239,286,174,150,906,304,209,445,455,123,730,149,0,0,21,0,1721,95,78
MARIA LAURA,0,103,0,0,0,306,0,0,0,0,0,0,0,0,0,0,267,108,0,84,0,0,0,0,0,0,0
MARIA LIZ,0,270,0,0,561,548,0,0,0,293,0,0,0,0,241,0,381,144,0,168,0,0,0,0,0,187,0
MARIA LUISA,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARIA LUIZA,0,134,0,0,0,250,0,0,0,0,0,113,688,0,138,0,358,0,601,102,0,0,15,0,0,85,0
MARIA VALENTINA,0,116,0,0,0,266,0,0,0,0,0,0,0,0,0,0,259,91,0,0,0,0,0,0,0,0,0
MARIA VITORIA,0,120,0,0,0,0,0,0,0,0,0,0,0,0,136,0,236,103,0,95,0,0,0,0,0,0,0
MARIANA,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINA,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARTINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0
MATHEUS,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATTEO,0,0,0,0,0,0,121,246,0,0,0,0,0,0,0,559,0,0,687,0,715,0,0,451,2700,0,0
MAVIE,43,0,38,124,589,0,0,0,0,265,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0
MAYA,0,0,0,0,724,0,139,260,0,0,0,0,0,0,0,0,0,0,1058,0,0,0,0,0,2740,0,64
MELISSA,0,0,0,114,739,0,0,0,0,0,136,0,782,0,0,444,0,92,0,0,381,55,0,0,1781,0,0
MIGUEL,64,231,87,296,1573,644,408,706,1024,520,565,442,2516,763,348,1842,652,232,1925,205,1299,241,43,1129,6202,183,231
MURILO,42,0,0,0,0,0,132,0,0,0,166,0,724,0,0,0,0,0,0,0,438,64,18,0,0,0,0
NICOLAS,35,0,28,0,463,237,122,0,252,234,135,119,0,309,128,0,0,95,0,0,0,70,20,292,0,0,87
NOAH,72,127,63,253,1345,501,407,613,720,405,310,257,1490,460,174,939,302,139,2229,116,688,132,30,712,5033,96,166
OLIVIA,0,0,0,0,0,0,132,0,280,0,149,0,726,0,0,442,0,0,0,0,345,55,17,276,1936,0,0
PEDRO,0,102,0,148,547,0,153,358,382,0,195,184,1185,257,154,777,282,0,1008,84,608,102,17,496,2890,65,78
PEDRO HENRIQUE,0,0,32,123,0,0,0,0,0,0,134,0,0,244,0,0,0,0,0,0,481,0,20,361,0,0,0
RAFAEL,0,0,0,109,0,0,158,0,270,0,146,115,806,0,0,589,0,0,0,0,343,61,0,0,1752,0,0
RAVI,129,243,80,388,1785,576,431,704,845,559,358,297,2077,801,324,1077,609,244,2043,162,800,205,46,686,5518,186,241
RAVI LUCCA,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAVY,0,0,29,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
REBECA,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
SAMUEL,58,175,75,209,1026,399,239,354,589,460,335,284,1389,552,260,990,479,138,1171,146,552,160,36,507,3327,136,148
SOFIA,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,474,0,0,0,0,454,63,0,322,0,0,0
SOPHIA,0,0,0,0,0,0,0,229,246,0,0,127,718,0,0,518,0,0,707,0,429,0,0,306,2154,0,0
THEO,71,207,66,225,1786,720,363,685,577,550,295,271,2020,509,310,1061,575,246,2192,184,932,140,26,789,4916,218,189
VALENTINA,0,0,35,125,657,0,0,236,278,198,169,159,737,289,0,0,0,0,662,0,486,53,16,319,1888,66,83
VICENTE,0,0,0,0,0,0,0,204,0,0,146,0,0,0,0,445,0,0,552,0,647,0,0,395,0,0,0
