Nome,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
ALICE,23,0,21,57,703,0,328,289,524,108,178,177,2462,178,129,765,225,55,1145,0,528,95,12,349,3725,72,85
AMANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
ANA BEATRIZ,36,104,30,99,366,298,0,132,0,144,94,92,840,287,161,307,347,75,0,115,0,42,23,0,1019,68,54
ANA CECÍLIA,0,0,0,0,0,200,0,0,0,95,0,0,0,0,92,0,178,0,0,64,0,0,0,0,0,0,0
ANA CLARA,71,134,63,248,566,325,227,201,293,236,204,224,1424,490,167,787,331,71,718,99,695,138,39,340,2780,104,84
ANA JULIA,0,0,0,0,0,0,0,0,0,86,109,73,922,0,0,396,0,70,0,96,0,49,0,0,0,68,43
ANA JÚLIA,35,105,25,71,527,294,189,88,268,184,115,117,929,118,218,332,322,48,521,80,290,77,16,149,1004,0,83
ANA LAURA,0,0,14,0,269,318,0,0,271,98,0,82,1199,244,137,539,180,0,0,115,0,0,0,164,1178,0,102
ANA LUIZA,30,0,19,72,288,215,0,121,179,129,98,0,973,197,82,359,182,54,442,74,223,44,13,155,1165,59,0
ANA SOFIA,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA SOPHIA,21,0,0,0,0,275,0,0,0,0,0,0,0,113,80,0,0,44,0,0,0,0,0,0,0,0,0
ANA VITÓRIA,38,66,33,93,348,223,0,91,0,160,0,0,0,220,81,0,0,0,0,0,0,52,19,0,0,0,53
ANTHONY GABRIEL,0,106,0,0,0,0,0,0,0,0,90,0,0,0,0,433,0,0,0,0,0,0,0,162,0,65,0
ANTHONY MIGUEL,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONELLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0
ARTHUR,85,134,52,176,1295,479,400,393,609,292,281,242,2454,405,240,881,351,131,1741,87,1067,172,19,456,4312,189,176
ARTHUR GABRIEL,43,116,19,60,279,0,107,0,0,125,99,74,0,214,98,362,303,63,0,97,0,54,16,159,0,86,0
ARTHUR HENRIQUE,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,360,0,0,0,0,0,0,10,0,0,0,0
ARTHUR MIGUEL,41,129,0,80,0,0,130,0,155,0,146,85,973,117,0,537,291,0,0,0,0,82,22,163,1202,73,0
AYLLA SOPHIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
BENJAMIM,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENJAMIN,0,0,0,0,292,0,0,101,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0
BERNARDO,22,87,18,59,609,258,324,241,252,0,0,74,1840,139,95,479,259,56,1412,72,547,0,10,273,2408,118,82
BRYAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0
CARLOS EDUARDO,0,74,15,49,0,0,0,0,0,138,78,0,0,171,0,0,0,58,0,0,0,50,13,0,0,0,0
CECÍLIA,0,0,0,0,333,0,147,0,251,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,46
DANIEL,22,0,18,61,319,0,123,116,0,104,0,0,0,173,0,0,0,0,410,0,0,46,0,0,0,0,57
DAVI,39,109,35,89,591,257,262,227,407,190,167,133,1631,279,154,604,272,79,873,84,408,105,21,324,2666,87,113
DAVI LUCAS,31,137,23,79,430,294,148,159,297,275,144,126,1544,263,184,426,391,126,708,141,0,70,13,169,1379,75,96
DAVI LUCCA,0,67,20,53,310,171,126,104,0,0,0,0,1209,0,0,460,0,0,544,0,214,0,20,186,2549,65,0
DAVI LUIZ,28,0,0,0,0,0,0,0,0,0,100,0,0,114,0,289,196,0,0,0,0,0,0,182,0,0,0
DAVI MIGUEL,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0
ELISA,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOÁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
EMANUEL,21,0,0,53,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
EMANUELLY,0,0,0,44,277,0,0,155,265,88,103,108,798,129,0,0,0,0,0,0,207,77,0,144,1144,0,0
EMANUELLY VITÓRIA,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENZO,0,0,13,0,379,0,105,133,0,0,0,73,0,0,0,0,0,0,515,0,201,0,0,0,1119,0,58
ENZO GABRIEL,101,288,62,208,1263,926,314,295,545,564,332,292,2849,643,412,1207,679,255,1145,344,667,205,48,617,3429,305,161
ENZO MIGUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,53,0
ESTHER,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRIEL,46,104,21,104,614,260,207,184,387,147,161,121,1751,232,157,524,285,64,771,68,350,77,15,237,2392,84,89
GAEL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIOVANNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0
GUILHERME,45,89,20,82,537,0,134,109,0,114,121,69,0,176,102,0,196,46,486,0,0,55,10,0,1311,82,48
GUSTAVO,0,0,12,0,355,0,112,95,170,0,0,70,0,133,0,0,0,0,0,0,0,54,11,140,1236,64,0
HEITOR,61,0,41,121,1056,357,451,402,683,291,228,167,2510,369,205,520,371,124,1538,121,273,100,26,283,3346,145,173
HEITOR GABRIEL,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,64,0,0,0,0,0,0,0
HELENA,23,0,14,50,405,0,310,340,459,0,197,153,2221,116,0,695,0,0,912,0,626,56,18,421,2954,0,74
HELOISA,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,0,0
HELOÍSA,0,0,0,0,357,0,215,0,208,89,0,77,0,0,0,0,0,0,0,0,0,42,0,138,1392,0,69
HENRIQUE,0,0,15,0,0,0,0,90,200,0,0,0,866,0,0,0,0,0,0,0,226,0,0,190,1005,0,0
