Nome,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
ALICE,0,0,23,0,179,0,290,233,296,26,30,125,1375,50,56,555,168,12,1,24,0,61,11,230,3610,74,74
ANA ALICE,0,0,0,7,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA BEATRIZ,47,152,33,11,102,181,141,163,146,53,24,76,637,79,140,349,361,17,0,42,0,61,15,107,1602,58,41
ANA CECILIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
ANA CECÍLIA,0,0,0,0,0,90,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
ANA CLARA,47,139,40,13,135,171,222,242,236,57,38,161,1093,110,97,691,245,13,0,27,0,97,13,286,3376,71,53
ANA GABRIELLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANA JULIA,19,0,0,0,63,77,0,109,0,25,37,85,1405,30,0,517,0,35,0,37,0,41,0,133,1493,100,45
ANA JÚLIA,34,153,24,7,143,191,223,115,209,54,26,114,0,0,144,330,347,0,0,22,0,48,6,151,1301,0,58
ANA LAURA,0,64,16,0,0,92,0,0,209,0,24,0,689,0,0,493,0,0,0,28,0,0,0,133,1326,0,52
ANA LUIZA,0,87,16,0,68,85,0,128,169,38,26,75,840,32,0,298,0,12,0,0,0,42,6,115,1349,60,0
ANA LÍVIA,0,0,0,0,0,102,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
ANA SOFIA,0,0,0,7,0,107,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
ANA SOPHIA,19,79,20,10,0,250,0,0,0,26,0,0,0,39,73,0,169,15,0,25,0,0,7,0,0,45,24
ANA VITORIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
ANA VITÓRIA,35,0,12,13,73,102,0,0,106,43,20,60,0,57,50,0,0,0,0,0,0,40,0,0,0,0,31
ANNA CLARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
ANNA JULIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
ANNA JÚLIA,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTHONY GABRIEL,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHUR,74,122,46,12,292,228,383,402,394,84,52,206,1622,118,136,769,339,44,0,30,0,128,19,352,4630,145,106
ARTHUR GABRIEL,20,99,16,7,0,0,0,0,0,23,14,0,0,46,58,252,228,12,0,20,0,0,9,0,0,62,0
ARTHUR HENRIQUE,0,0,14,5,0,0,0,0,106,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0
ARTHUR MIGUEL,24,70,0,8,0,0,118,0,0,0,0,0,519,32,0,275,234,0,0,0,0,46,10,0,0,58,0
AYLLA SOPHIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
BEATRIZ,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1042,0,0
BENJAMIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
BERNARDO,0,81,12,8,121,84,201,258,121,0,0,0,1181,0,55,307,160,0,0,0,0,0,7,159,1971,83,38
CARLOS EDUARDO,25,108,13,0,0,94,93,0,114,32,0,65,0,69,0,0,139,21,0,0,0,56,10,0,0,0,30
CARLOS HENRIQUE,0,0,0,0,0,0,0,0,0,23,0,0,0,37,0,0,0,13,0,0,0,0,0,0,0,0,0
CECÍLIA,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANIEL,20,0,13,7,87,0,112,123,127,29,15,54,442,44,0,0,0,0,0,0,0,41,0,0,0,0,30
DAVI,43,121,19,8,186,146,320,341,362,55,49,169,1352,94,120,572,293,27,0,34,0,93,15,261,3382,75,100
DAVI LUCAS,35,179,18,9,138,152,136,183,273,77,25,126,1482,86,133,467,350,41,0,67,0,51,6,168,1921,72,69
DAVI LUCCA,0,0,16,0,63,0,118,93,0,0,0,0,722,0,0,269,0,0,0,0,0,0,0,103,2373,40,0
DAVI LUIS,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
DAVI LUIZ,29,81,0,0,0,0,0,0,0,0,23,64,598,0,0,328,176,12,0,26,0,34,0,167,0,45,27
DAVI MIGUEL,0,63,0,0,0,0,0,0,0,0,14,0,0,0,0,326,148,0,0,0,0,38,5,105,1061,0,0
EDUARDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,37,0,0,0,0,0
ELIAS,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMANUEL,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMANUELLY,0,0,0,0,0,0,0,116,150,0,18,85,468,0,0,0,0,0,0,0,0,44,0,0,1085,0,0
ENZO,0,0,0,0,87,0,113,139,135,0,0,0,490,0,0,0,0,0,0,0,0,0,0,93,1525,0,27
ENZO GABRIEL,76,210,45,25,314,336,395,210,397,115,68,229,1612,121,198,978,368,60,0,68,0,119,20,458,3839,221,107
ESTHER,0,0,0,0,73,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FELIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,0,0
FLORENCIA NELCIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GABRIEL,24,130,21,13,155,126,150,192,194,41,27,111,1120,73,94,449,227,20,0,37,0,65,8,206,2518,82,55
GIOVANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
GUILHERME,27,94,13,9,163,0,115,115,118,39,22,74,0,47,62,0,159,15,0,19,0,48,7,0,1565,63,0
GUSTAVO,16,0,0,0,83,0,89,94,121,23,15,0,434,37,65,241,0,0,0,0,0,32,5,103,1356,0,27
GUSTAVO HENRIQUE,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,259,0,0,0,0,0,0,0,95,0,0,0
HEITOR,17,0,23,6,111,107,226,271,344,41,20,79,1024,38,63,0,201,0,0,30,0,37,12,0,1811,0,61
HELENA,0,0,0,0,0,0,123,178,141,0,0,70,702,0,0,291,0,0,0,0,0,0,0,195,1720,0,29
HELOISA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,0,24
HELOÍSA,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HENRIQUE,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
