nome,qty,percentage
SILVA,10169,2.3368201413719887
SANTOS,6785,1.5591822852993356
FERREIRA,5917,1.3597172560230166
PEREIRA,5557,1.276989824525926
OLIVEIRA,4607,1.0586813247419364
COSTA,4480,1.0294969252971293
RODRIGUES,4419,1.015479221626789
MARTINS,4098,0.9417139285418831
FERNANDES,3777,0.8679486354569771
GONÇALVES,3659,0.8408324217995974
SOUSA,3495,0.8031454807842561
LOPES,3344,0.768445919239643
MARQUES,3143,0.7222564366537674
ALMEIDA,3007,0.6910038514215331
GOMES,2992,0.6875568751091543
RIBEIRO,2988,0.6866376814258532
ALVES,2920,0.6710113888097361
CARVALHO,2868,0.659061870926823
PINTO,2767,0.6358522304234725
DIAS,2339,0.5374985063102646
TEIXEIRA,2308,0.5303747552646818
CORREIA,1988,0.4568392606006011
MOREIRA,1750,0.40214723644419115
MENDES,1662,0.381924975411569
MONTEIRO,1645,0.3780184022575397
SOARES,1618,0.3718138448952579
CARDOSO,1545,0.35503856017501445
PIRES,1529,0.35136178544181046
NUNES,1525,0.35044259175850945
VIEIRA,1478,0.3396420659797226
ROCHA,1415,0.3251647654677317
DUARTE,1396,0.3207985954720519
CUNHA,1276,0.2932227849730217
COELHO,1234,0.2835712512983611
FONSECA,1205,0.2769070970944288
RAMOS,1180,0.27116213657379745
CRUZ,1168,0.2684045555238945
MATOS,1151,0.26449798236986516
NEVES,1148,0.2638085871073894
MACHADO,1105,0.2539272550119036
JESUS,1097,0.25208886764530153
REIS,1077,0.24749289922879647
SIMÕES,1000,0.2297984208252521
FIGUEIREDO,983,0.22589184767122283
ANTUNES,964,0.22152567767554301
CASTRO,950,0.2183084997839895
MAGALHÃES,906,0.2081973692676784
TAVARES,883,0.20291200558869757
ARAÚJO,846,0.19440946401816328
FREITAS,845,0.194179665597338
BARBOSA,810,0.1861367208684542
LOURENÇO,808,0.1856771240268037
AZEVEDO,804,0.18475793034350266
LIMA,789,0.1813109540311239
MORAIS,764,0.1755659935104926
AFONSO,757,0.17395740456471584
MIRANDA,680,0.1562629261611714
BARROS,652,0.14982857037806435
CAMPOS,642,0.14753058616981182
PINHEIRO,634,0.14569219880320983
HENRIQUES,621,0.14270481933248155
BAPTISTA,620,0.14247502091165629
FARIA,616,0.14155582722835527
ESTEVES,615,0.14132602880753004
ANDRADE,604,0.13879824617845227
NOGUEIRA,604,0.13879824617845227
LEITE,570,0.1309850998703937
BATISTA,567,0.13029570460791792
MOTA,566,0.13006590618709268
SÁ,559,0.12845731724131593
VAZ,558,0.12822751882049066
BORGES,554,0.12730832513718965
MELO,535,0.12294215514150987
BRITO,529,0.12156336461655835
CONCEIÇÃO,528,0.1213335661957331
ABREU,516,0.11857598514583008
GUERREIRO,495,0.11375021830849978
ROSA,492,0.11306082304602402
MOURA,484,0.111222435679422
VALENTE,480,0.110303241996121
PINHO,475,0.10915424989199475
AMARAL,473,0.10869465305034424
LOUREIRO,453,0.1040986846338392
MAIA,445,0.10226029726723718
BRANCO,427,0.09812392569238265
DOMINGUES,415,0.09536634464247962
GARCIA,402,0.09237896517175133
MACEDO,396,0.09100017464679984
NETO,394,0.09054057780514932
PACHECO,374,0.08594460938864429
CARNEIRO,373,0.08571481096781904
LEAL,368,0.08456581886369277
BASTOS,364,0.08364662518039176
GASPAR,361,0.082957229917916
GUEDES,359,0.0824976330762655
SAMPAIO,357,0.08203803623461499
CORDEIRO,353,0.08111884255131399
LEMOS,353,0.08111884255131399
SARAIVA,348,0.07996985044718773
NASCIMENTO,342,0.07859105992223622
PEIXOTO,342,0.07859105992223622
GOUVEIA,341,0.07836126150141097
PAIVA,341,0.07836126150141097
COUTO,340,0.0781314630805857
GUIMARÃES,336,0.0772122693972847
TORRES,332,0.0762930757139837
SEQUEIRA,329,0.07560368045150795
JORGE,327,0.07514408360985743
REBELO,325,0.07468448676820692
BENTO,322,0.07399509150573116
VICENTE,319,0.07330569624325542
CABRAL,316,0.07261630098077966
AMORIM,310,0.07123751045582814
MATEUS,307,0.07054811519335238
MESQUITA,304,0.06985871993087664
GRAÇA,297,0.06825013098509987
LEITÃO,296,0.06802033256427462
COUTINHO,295,0.06779053414344936
MATIAS,289,0.06641174361849786
GUERRA,284,0.0652627515143716
PAIS,283,0.06503295309354634
MADEIRA,266,0.06112637993951705
VENTURA,266,0.06112637993951705
VASCONCELOS,265,0.0608965815186918
SERRA,252,0.05790920204796353
FILIPE,251,0.057679403627138276
CARMO,249,0.05721980678548778
RAMALHO,248,0.05699000836466252
MORGADO,244,0.05607081468136151
GODINHO,236,0.05423242731475949
BARROSO,235,0.054002628893934236
FREIRE,234,0.05377283047310899
VALE,229,0.052623838368982725
VEIGA,227,0.05216424152733223
AGUIAR,226,0.051934443106506974
BARATA,226,0.051934443106506974
CAETANO,226,0.051934443106506974
CERQUEIRA,226,0.051934443106506974
MENDONÇA,226,0.051934443106506974
BERNARDO,224,0.05147484626485646
FRANCO,224,0.05147484626485646
MARTINHO,222,0.05101524942320596
MARINHO,216,0.04963645889825445
TRINDADE,216,0.04963645889825445
AMARO,215,0.0494066604774292
DINIS,212,0.04871726521495344
PEDRO,211,0.048487466794128194
BRANDÃO,209,0.04802786995247769
VIEGAS,209,0.04802786995247769
PIMENTA,208,0.047798071531652435
PINA,207,0.04756827311082718
ALBUQUERQUE,206,0.04733847469000193
PALMA,205,0.047108676269176676
QUEIRÓS,189,0.04343190153597265
CARREIRA,187,0.042972304694322144
RAPOSO,187,0.042972304694322144
TELES,187,0.042972304694322144
ROQUE,186,0.04274250627349689
FÉLIX,182,0.04182331259019588
FONTES,181,0.04159351416937063
VELOSO,181,0.04159351416937063
BRÁS,180,0.04136371574854538
GIL,177,0.04067432048606962
SILVEIRA,177,0.04067432048606962
VIANA,172,0.03952532838194336
FRANCISCO,170,0.03906573154029285
XAVIER,170,0.03906573154029285
ABRANTES,168,0.03860613469864235
CALDEIRA,167,0.0383763362778171
FIGUEIRA,166,0.03814653785699185
BRAGA,163,0.03745714259451609
NOBRE,163,0.03745714259451609
LOBO,162,0.03722734417369084
LUCAS,158,0.03630815049038983
LUZ,158,0.03630815049038983
ROSÁRIO,158,0.03630815049038983
SALGADO,158,0.03630815049038983
PAULO,157,0.03607835206956458
TOMÁS,157,0.03607835206956458
INÁCIO,156,0.035848553648739324
TOMÉ,156,0.035848553648739324
ASSUNÇÃO,155,0.03561875522791407
CALADO,155,0.03561875522791407
MEIRELES,154,0.03538895680708882
DOMINGOS,153,0.03515915838626357
FIALHO,153,0.03515915838626357
BOTELHO,152,0.03492935996543832
FERRAZ,149,0.03423996470296256
DELGADO,148,0.03401016628213731
VILELA,148,0.03401016628213731
CHAVES,145,0.03332077101966155
MADUREIRA,145,0.03332077101966155
BARRETO,144,0.0330909725988363
LOURO,144,0.0330909725988363
MIGUEL,144,0.0330909725988363
RESENDE,144,0.0330909725988363
LUÍS,142,0.0326313757571858
BESSA,141,0.032401577336360544
AIRES,138,0.031712182073884786
FARINHA,138,0.031712182073884786
DIOGO,136,0.03125258523223428
ANJOS,135,0.031022786811409034
BARREIRA,135,0.031022786811409034
NOVAIS,134,0.03079298839058378
REGO,134,0.03079298839058378
ROSADO,134,0.03079298839058378
SIMÃO,134,0.03079298839058378
ALEXANDRE,133,0.030563189969758525
CANDEIAS,131,0.030103593128108026
VARELA,131,0.030103593128108026
FIDALGO,130,0.02987379470728277
SALGUEIRO,130,0.02987379470728277
PROENÇA,128,0.02941419786563227
PIMENTEL,127,0.029184399444807014
SERRANO,126,0.028954601023981764
PATRÍCIO,124,0.02849500418233126
CONDE,123,0.028265205761506006
CATARINO,121,0.0278056089198555
GAMA,121,0.0278056089198555
MEDEIROS,120,0.02757581049903025
ANDRÉ,119,0.027346012078205
AGOSTINHO,117,0.026886415236554495
GRILO,117,0.026886415236554495
SILVESTRE,117,0.026886415236554495
PEDROSA,115,0.02642681839490399
SOBRAL,115,0.02642681839490399
AUGUSTO,114,0.026197019974078736
ROMÃO,114,0.026197019974078736
COIMBRA,113,0.025967221553253487
MOUTINHO,113,0.025967221553253487
SEIXAS,113,0.025967221553253487
CASTANHEIRA,111,0.02550762471160298
CABRITA,110,0.02527782629077773
CAEIRO,110,0.02527782629077773
MOURÃO,110,0.02527782629077773
SANCHES,110,0.02527782629077773
PARREIRA,106,0.02435863260747672
MENESES,105,0.024128834186651467
SALVADOR,105,0.024128834186651467
PONTES,102,0.02343943892417571
FAUSTINO,101,0.023209640503350462
BELO,99,0.02275004366169996
CAVACO,99,0.02275004366169996
SANTO,99,0.02275004366169996
