Nome,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
AGATHA,35,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALICE,56,0,59,163,1137,261,306,523,816,256,420,322,2066,423,159,1530,298,112,1514,90,1080,193,28,886,5827,85,148
ANA CECILIA,0,0,0,0,0,276,0,0,0,230,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0
ANA CLARA,0,0,37,171,0,0,0,0,0,0,0,120,0,317,0,0,0,0,0,0,0,84,20,0,0,0,0
ANA JULIA,0,96,53,0,0,298,0,0,0,276,156,0,0,0,135,0,283,114,0,98,0,0,0,0,0,89,0
ANA LAURA,0,136,32,0,0,482,0,0,248,246,0,0,0,428,202,0,304,114,0,157,0,0,17,0,0,76,84
ANA LIZ,54,153,0,0,590,679,129,0,256,349,0,0,0,327,199,0,334,129,0,138,0,0,21,0,0,73,106
ANA VITORIA,42,0,41,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNA LIZ,0,0,0,0,0,277,0,0,0,0,0,0,0,0,128,0,0,0,0,93,0,0,0,0,0,0,0
ANTHONY,59,117,70,272,1547,378,211,501,537,373,307,249,1449,645,184,810,382,168,1468,84,783,143,26,614,3516,83,192
ANTHONY GABRIEL,40,144,28,0,0,0,0,0,265,251,192,0,930,343,161,0,373,0,0,113,0,89,0,0,0,79,74
ANTONELLA,35,0,31,0,0,0,0,307,415,0,215,234,1133,0,0,899,0,0,1464,0,830,107,19,475,3110,0,98
ARTHUR,91,198,76,385,1540,652,316,579,731,490,456,372,1992,683,316,1327,519,224,2065,170,1278,220,34,856,5375,176,190
ARTHUR MIGUEL,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
AUGUSTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0
AURORA,0,0,0,198,648,388,227,311,558,324,271,166,1073,439,0,703,265,160,810,93,977,99,21,380,0,81,107
AYLA,34,0,28,138,0,0,125,262,0,0,0,0,0,272,0,0,0,0,664,0,0,68,0,0,0,0,72
AYLLA,0,0,0,0,668,0,0,228,0,0,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,0,80
AYLLA SOPHIA,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0
BEATRIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,310,0,0,0
BENICIO,51,0,0,160,595,358,188,402,466,310,290,189,1472,0,141,709,297,131,1035,105,589,122,26,394,2920,86,109
BENJAMIM,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
BENJAMIN,37,0,31,133,562,272,0,210,0,247,0,0,0,0,0,0,0,0,0,0,396,0,19,278,0,0,0
BENTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0
BERNARDO,43,192,40,193,1226,468,347,483,479,255,249,237,1683,386,212,1007,443,158,1754,149,1001,93,0,659,4421,178,172
BRYAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0
CECILIA,44,96,43,137,933,0,282,541,820,243,475,377,2050,419,0,1442,0,101,1084,0,1246,215,33,770,4075,82,171
DANIEL,39,0,27,165,0,0,143,215,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVI,74,209,75,225,1100,559,349,564,790,368,384,285,1937,639,315,1304,563,183,1527,167,867,174,33,800,4655,140,173
DAVI LUCAS,0,110,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,117,0,0,0,0,20,0,0,0,0
DAVI LUCCA,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,2044,0,0
ELISA,0,0,0,0,850,0,204,355,491,244,193,0,873,280,0,0,0,0,0,0,0,92,0,0,0,83,151
ELOA,41,0,59,185,762,0,153,211,324,258,186,144,678,409,0,478,0,101,679,0,0,81,23,350,0,0,111
EMANUEL,37,0,31,127,0,0,0,215,0,0,0,0,688,0,0,546,0,0,0,0,0,85,0,282,0,0,70
ENZO GABRIEL,76,256,66,213,684,481,0,0,268,417,164,121,688,631,244,0,524,162,0,165,0,0,27,0,0,156,88
ESTER,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTHER,37,0,0,0,0,0,0,187,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
