Nome,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
ADRYAN DIEGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AGATHA CRISTIAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ALICE,19,0,13,9,122,0,310,250,270,0,12,92,1266,0,57,446,182,8,1,20,0,47,6,237,3272,62,14
ANA ALICE,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA BEATRIZ,51,155,34,15,111,121,202,208,174,37,26,77,759,69,152,448,518,10,1,51,0,62,19,146,2016,62,21
ANA CECILIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
ANA CECÍLIA,0,0,0,0,0,42,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
ANA CLARA,96,185,65,21,150,91,298,315,242,45,42,157,1217,103,122,797,366,10,0,28,0,115,17,329,4260,81,16
ANA JULIA,23,0,15,0,60,52,0,124,137,19,31,90,596,0,0,723,0,17,0,40,0,48,7,155,1955,100,11
ANA JÚLIA,40,130,24,19,133,82,235,149,195,39,15,87,976,0,138,273,346,0,0,0,0,58,6,175,1422,0,14
ANA LAURA,0,0,0,0,0,43,0,0,191,0,21,0,750,20,55,487,0,0,0,0,0,0,0,142,1505,0,11
ANA LETÍCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
ANA LUIZA,22,78,22,9,76,56,135,196,183,20,24,47,870,33,51,362,167,0,0,28,0,30,8,168,1808,39,0
ANA LÍVIA,0,0,0,0,0,44,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
ANA PAULA,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA SOFIA,22,0,0,6,0,67,0,0,0,27,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
ANA SOPHIA,30,0,14,0,0,99,0,0,0,20,0,0,0,21,0,0,190,8,0,0,0,0,0,0,0,39,0
ANA VITORIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,0,0,7
ANA VITÓRIA,32,65,14,18,91,68,0,0,0,28,13,40,0,26,67,0,160,0,0,0,0,36,0,0,0,0,9
ANNA CLARA,0,0,16,0,0,0,0,0,89,0,0,0,0,22,0,0,0,0,0,0,0,27,7,0,0,0,0
ANTHONY GABRIEL,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHUR,53,108,34,15,246,104,416,427,392,64,30,127,1404,87,107,634,309,15,1,32,0,100,17,352,4538,128,23
ARTHUR COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARTHUR GABRIEL,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,22,0,0,0,0,0,44,0
ARTHUR HENRIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0
ARTHUR MIGUEL,21,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,20,0,24,6,0,0,0,0
BEATRIZ,0,0,0,0,0,0,103,132,0,0,0,46,0,0,0,0,0,0,0,0,0,22,0,123,1271,0,0
BENJAMIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BERNARDO,0,69,0,0,80,0,165,246,89,0,0,0,1026,0,0,250,0,9,0,0,0,0,0,174,1711,49,11
BRENNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BRUNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BRUNO LEAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CALEBE,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARLOS DANIEL,0,72,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12
CARLOS EDUARDO,32,109,27,8,50,67,124,95,124,46,15,62,448,60,55,286,181,13,0,0,0,52,8,117,0,48,14
CARLOS HENRIQUE,0,74,0,6,0,0,0,0,0,33,0,0,0,29,0,0,0,9,0,0,0,0,6,0,0,40,8
DANIEL,24,0,17,6,86,0,141,151,125,26,0,45,428,31,49,0,0,9,0,0,0,31,7,0,1173,0,12
DAVI,62,116,26,10,223,82,466,408,390,36,43,129,1479,70,125,639,401,20,1,48,0,75,18,375,4170,110,26
DAVI HENRIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0
DAVI LUCAS,43,228,26,13,154,105,245,276,259,82,30,102,1806,91,158,638,524,24,2,76,0,70,8,209,2567,78,19
DAVI LUCCA,0,0,0,6,0,0,93,0,0,0,0,0,613,0,0,259,0,0,0,0,0,0,0,114,2035,0,0
DAVI LUIS,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
DAVI LUIZ,49,95,25,0,82,51,139,139,162,16,25,62,864,45,66,551,405,17,0,33,0,63,6,304,1547,56,15
DAVI LUÍS,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVI MIGUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,25,0,0,0,0,0,0,0
EDUARDO,16,0,10,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
EMANUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
EMANUELLE,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMANUELLY,0,0,0,5,0,0,0,102,116,0,19,58,457,21,0,0,0,0,0,0,0,40,6,0,0,0,0
EMILLY VITÓRIA,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENZO,0,0,0,0,64,0,126,121,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1789,0,0
ENZO GABRIEL,41,82,31,10,199,97,362,152,258,64,36,132,1090,66,104,729,206,20,0,47,0,80,15,354,3170,138,19
ESTER,18,0,0,5,61,39,0,0,0,19,14,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTHER,15,0,0,0,0,0,0,113,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FELIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
FERNANDO,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRANCIELLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GABRIEL,40,112,19,8,130,82,219,219,202,21,22,61,1088,60,122,483,248,15,0,35,0,60,10,231,2700,53,12
GABRIEL HENRIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0
GABRIEL JESUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GABRIEL OLIVEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GUILHERME,37,108,11,12,142,49,192,147,103,29,0,54,421,28,77,261,195,0,0,28,0,29,10,115,1772,61,18
GUSTAVO,17,0,11,0,112,0,118,98,114,0,15,51,436,31,45,267,0,8,0,0,0,35,6,147,1643,44,0
GUSTAVO HENRIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,109,0,0,0
HEITOR,0,0,12,0,79,0,165,295,304,21,16,0,759,23,57,0,179,0,0,28,0,0,7,0,1439,0,11
HELENA,0,0,0,0,0,0,116,131,107,0,13,0,517,0,0,0,0,0,0,0,0,0,0,201,1349,0,0
HELOISA,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,0,0
HENRIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0
ISABELA,0,0,0,7,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISABELLA,0,0,11,9,58,0,153,107,161,0,13,49,0,22,0,239,0,0,1,0,0,0,9,115,1637,0,15
ISABELLA GUIMARÃES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ISABELLY,18,0,0,0,0,0,0,100,0,0,0,0,0,20,0,0,0,0,0,0,0,31,0,0,0,0,0
ISADORA,0,0,0,0,0,0,123,103,131,0,12,42,424,21,0,234,0,0,0,0,0,0,0,171,0,0,8
JOAO GABRIEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,37,0,0,0,0,0,55,0
JOAO GUILHERME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,39,0
JOAO LUCAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,77,0,0,0,0,0,146,20
JOAO MIGUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,56,0,0,0,0,0,128,8
JOAO PEDRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,37,0,0,0,0,0,102,7
JOAO VICTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
JOSÉ HENRIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
JOSÉ MIGUEL,0,91,0,0,0,0,0,0,0,0,0,0,0,0,70,0,249,0,0,0,0,0,5,0,0,0,0
JOSÉ PEDRO,0,0,0,7,0,0,0,0,0,15,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
JOÃO ARTHUR,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOÃO GABRIEL,32,96,12,0,67,85,152,0,159,25,15,58,628,28,71,289,262,0,0,0,0,28,0,136,0,0,8
JOÃO GUILHERME,18,161,20,0,0,41,0,0,0,0,0,0,0,29,0,0,235,0,0,0,0,29,6,0,0,0,0
JOÃO LUCAS,111,378,36,17,312,283,422,383,453,163,58,192,2529,147,319,1143,1001,0,0,34,0,141,20,468,3858,59,46
JOÃO MIGUEL,126,414,28,17,149,214,390,298,336,76,59,157,1368,79,246,784,764,0,0,32,0,107,22,222,2304,51,30
JOÃO PAULO,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOÃO PEDRO,64,238,37,17,145,155,290,262,305,54,42,141,1262,64,179,942,573,0,0,23,0,93,10,312,3245,0,21
JOÃO VICTOR,23,96,16,7,0,41,0,0,0,0,13,39,0,31,66,0,200,0,0,0,0,27,7,109,0,0,0
JOÃO VITOR,0,87,22,0,51,0,0,100,0,18,14,39,0,32,0,405,0,0,0,0,0,46,6,237,1083,0,0
JOÃO VÍTOR,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JULIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0
JÚLIA,0,0,0,5,56,0,141,0,105,0,0,43,458,0,0,0,0,0,1,0,0,0,0,0,0,0,7
KAROLAINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KAUÃ FULY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KAYO RAFAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LARA,0,0,0,0,49,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARA SOPHIA,0,84,0,0,47,0,0,0,0,21,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,75,0
LAURA,0,0,9,7,80,0,188,158,197,0,18,42,818,0,48,410,170,0,0,0,0,40,5,192,2461,41,0
LAURA BEATRIZ,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,27,0,0,0,0,0,0,0
LAURA SOPHIA,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAVÍNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
LAÍS LINHARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LIDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LORENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2185,0,0
LORENZO,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1381,0,0
LUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
LUCAS,17,0,0,6,53,47,156,144,92,0,0,50,695,32,51,244,160,7,0,0,0,47,7,152,1965,0,14
LUCAS GABRIEL,0,132,0,12,0,0,0,0,100,15,17,0,492,28,71,277,321,9,0,46,0,28,9,0,0,55,14
LUIS FERNANDO,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUIZ FERNANDO,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUIZ GUSTAVO,23,94,0,0,0,43,0,0,0,0,0,38,0,0,0,245,0,9,0,0,0,0,0,125,0,56,0
LUIZ HENRIQUE,22,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUIZ MIGUEL,0,71,0,5,0,0,0,0,0,0,16,41,0,0,50,247,187,0,0,0,0,0,0,0,0,38,0
LÍVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0
MANUELA,0,0,0,8,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,0,0
MANUELLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,0,0
MARCOS VINÍCIUS,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARIA ALICE,0,96,15,7,70,92,139,106,105,0,17,0,716,22,173,276,567,16,0,43,0,0,0,115,0,66,0
MARIA APARECIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
MARIA BEATRIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0
MARIA CECILIA,0,65,0,0,0,52,0,0,0,17,0,0,0,0,0,0,0,27,0,72,0,0,0,0,0,111,0
